# ETF 池 — 细分板块版
# 格式: ETF名称,代码,大类/细分
# 大类用于策略规则（如规则 11 大簇崩盘），细分用于板块去重 TOP10 排序

# ===== 科技 =====
创中盘88ETF国寿,159804,宽基/创业板
深成长ETF大成,159906,宽基/创业板

# ===== 宽基/科创板 =====
科创50ETF易方达,588080,宽基/科创板
科创100ETF鹏华,588220,宽基/科创板
科创200ETF华泰柏瑞,588230,宽基/科创板
科创综指ETF鹏华,589680,宽基/科创板
科创创业ETF易方达,159781,宽基/科创板

# ===== 宽基/综合 =====
A股ETF华泰柏瑞,563330,宽基/综合
深证100ETF易方达,159901,宽基/综合
深证50ETF富国,159350,宽基/综合
深证成指ETF大成,159943,宽基/综合
深证主板50ETF南方,159578,宽基/综合
深300ETF汇添富,159912,宽基/综合
上证指数ETF汇添富,510980,宽基/综合
价值100ETF富国,512040,宽基/综合
质量ETF中金,515910,宽基/综合
战略新兴ETF华夏,512770,宽基/综合
产业升级ETF南方,510160,宽基/综合
专精特新ETF富国,563210,宽基/综合
一带一路ETF易方达,515110,宽基/综合
上海国企ETF汇添富,510810,宽基/综合
浙江国资ETF华夏,515760,宽基/综合
浙商之江凤凰ETF,512190,宽基/综合
长三角ETF汇添富,512650,宽基/综合
大湾区ETF平安,512970,宽基/综合
成渝经济圈ETF博时,159623,宽基/综合
湖北ETF博时,159743,宽基/综合
湾创ETF工银,159976,宽基/综合
民企ETF弘毅远方,159973,宽基/综合

# ===== 红利 =====
红利ETF易方达,515180,红利/红利
自由现金流ETF华夏,159201,红利/红利
红利低波ETF易方达,563020,红利/低波
央企改革ETF华夏,512950,红利/综合
可持续发展ETF博时,515090,红利/综合

# ===== 跨境/港股 =====
恒生指数ETF南方,513600,跨境/港股
中概互联网ETF嘉实,159607,跨境/港股
港股通互联网ETF富国,159792,跨境/港股
港股国企ETF国泰,159519,跨境/港股
港股通消费ETF易方达,513070,跨境/港股
港股低波红利ETF摩根,513630,跨境/港股
沪港深300ETF国寿,517300,跨境/港股
沪港深500ETF易方达,517010,跨境/港股
沪深港科技50ETF交银,517950,跨境/港股

# ===== 跨境/美股 =====
纳指ETF广发,159941,跨境/美股
标普500ETF南方,513650,跨境/美股
道琼斯ETF鹏华,513400,跨境/美股
美国50ETF汇添富,159577,跨境/美股
标普消费ETF景顺,159529,跨境/美股

# ===== 跨境/海外 =====
富时A50ETF嘉实,512550,跨境/海外
中韩半导体ETF华泰柏瑞,513310,跨境/海外
德国ETF嘉实,159561,跨境/海外
法国ETF华安,513080,跨境/海外
日本东证指数ETF南方,513800,跨境/海外
日经ETF华夏,513520,跨境/海外
沙特ETF南方,159329,跨境/海外
巴西ETF易方达,520870,跨境/海外
亚太精选ETF南方,159687,跨境/海外

# ===== 债券 =====
30年国债ETF博时,511130,债券/国债
政金债ETF富国,511520,债券/政金债
10年地方债ETF海富通,511270,债券/地方债
城投债ETF海富通,511220,债券/地方债
信用债ETF广发,159397,债券/信用债
信用债ETF华夏,511200,债券/信用债
可转债ETF博时,511380,债券/可转债
短融ETF海富通,511360,债券/货币
银华日利ETF,511880,债券/货币

# ===== LOF =====
港美互联网LOF,160644,LOF/综合
标普信息科技LOF,161128,LOF/综合
全球芯片LOF,501225,LOF/综合

# ===== 其他 =====
教育ETF博时,513360,其他/教育
创新100ETF申万菱信,515200,其他/ESG
ESGETF浦银,516720,其他/ESG
180ESGETF工银,510990,其他/ESG
180治理ETF交银,510010,其他/ESG
科创债ETF华夏,551550,其他/ESG
