code,name,product_type,effective_from,effective_to,source,quality
515220,煤炭ETF国泰,ETF,2020-03-02,,initial_current_pool_backfill,partial_survivorship_bias
515030,新能源车ETF华夏,ETF,2020-03-04,,initial_current_pool_backfill,partial_survivorship_bias
159996,家电ETF国泰,ETF,2020-03-16,,initial_current_pool_backfill,partial_survivorship_bias
159807,科技ETF易方达,ETF,2020-03-30,,initial_current_pool_backfill,partial_survivorship_bias
159804,创中盘88ETF国寿,ETF,2020-03-31,,initial_current_pool_backfill,partial_survivorship_bias
511380,可转债ETF博时,ETF,2020-04-07,,initial_current_pool_backfill,partial_survivorship_bias
515960,医药ETF嘉实,ETF,2020-06-10,,initial_current_pool_backfill,partial_survivorship_bias
513080,法国ETF华安,ETF,2020-06-12,,initial_current_pool_backfill,partial_survivorship_bias
159814,创业大盘ETF西部利得,ETF,2020-07-17,,initial_current_pool_backfill,partial_survivorship_bias
511360,短融ETF海富通,ETF,2020-09-25,,initial_current_pool_backfill,partial_survivorship_bias
515760,浙江国资ETF华夏,ETF,2020-10-12,,initial_current_pool_backfill,partial_survivorship_bias
588080,科创50ETF易方达,ETF,2020-11-16,,initial_current_pool_backfill,partial_survivorship_bias
159825,农业ETF富国,ETF,2020-12-29,,initial_current_pool_backfill,partial_survivorship_bias
515120,创新药ETF广发,ETF,2021-01-04,,initial_current_pool_backfill,partial_survivorship_bias
515170,食品饮料ETF华夏,ETF,2021-01-13,,initial_current_pool_backfill,partial_survivorship_bias
515920,智能消费ETF博时,ETF,2021-01-20,,initial_current_pool_backfill,partial_survivorship_bias
516160,新能源ETF南方,ETF,2021-02-04,,initial_current_pool_backfill,partial_survivorship_bias
159841,证券ETF天弘,ETF,2021-02-09,,initial_current_pool_backfill,partial_survivorship_bias
159852,软件ETF嘉实,ETF,2021-02-09,,initial_current_pool_backfill,partial_survivorship_bias
516800,智能制造ETF华宝,ETF,2021-02-19,,initial_current_pool_backfill,partial_survivorship_bias
517300,沪港深300ETF国寿,ETF,2021-02-24,,initial_current_pool_backfill,partial_survivorship_bias
515910,质量ETF中金,ETF,2021-02-26,,initial_current_pool_backfill,partial_survivorship_bias
516520,智能驾驶ETF华泰柏瑞,ETF,2021-03-01,,initial_current_pool_backfill,partial_survivorship_bias
159869,游戏ETF华夏,ETF,2021-03-05,,initial_current_pool_backfill,partial_survivorship_bias
159865,养殖ETF国泰,ETF,2021-03-08,,initial_current_pool_backfill,partial_survivorship_bias
516120,化工ETF富国,ETF,2021-03-09,,initial_current_pool_backfill,partial_survivorship_bias
516150,稀土ETF嘉实,ETF,2021-03-17,,initial_current_pool_backfill,partial_survivorship_bias
159845,中证1000ETF华夏,ETF,2021-03-31,,initial_current_pool_backfill,partial_survivorship_bias
516510,云计算ETF易方达,ETF,2021-04-07,,initial_current_pool_backfill,partial_survivorship_bias
159886,机械ETF富国,ETF,2021-04-28,,initial_current_pool_backfill,partial_survivorship_bias
