date,period,market_state,nav,benchmark_nav,gross_factor,entry_cost_pct,stop_cost_pct,cash_weight_pct,holdings,daily_return_pct,drawdown_pct,benchmark_daily_return_pct
2025-08-04,2025-W32,退潮,1.009250697263901,1.007278020378457,1.009970697263901,0.072,0.0,9.837000882848027,"通信ETF国泰, 中药ETF汇添富",0.9250697263901042,0.0,0.727802037845704
2025-08-05,2025-W32,退潮,1.0172622439125694,1.014798641436196,1.0179822439125694,0.0,0.0,9.75952863621002,"通信ETF国泰, 中药ETF汇添富",0.7938113563248139,0.0,0.7466281310211986
2025-08-06,2025-W32,退潮,1.0140316328331862,1.017467248908297,1.0147516328331863,0.0,0.0,9.790621592603898,"通信ETF国泰, 中药ETF汇添富",-0.31757898208800706,-0.31757898208800706,0.26296916088932587
2025-08-07,2025-W32,退潮,1.009001239811017,1.017224648229015,1.0097212398110171,0.0,0.0,9.8394329048193,"通信ETF国泰, 中药ETF汇添富",-0.4960785106983612,-0.8120820517017346,-0.02384358607534498
2025-08-08,2025-W32,退潮,1.0110487347489747,1.014798641436196,1.0117687347489748,0.0,0.0,9.819506873192367,"通信ETF国泰, 中药ETF汇添富",0.20292293578758613,-0.6108070166544688,-0.23849272597186166
2025-08-11,2025-W33,震荡,1.0208691437180606,1.019408054342552,1.0104650915964444,0.07519999999999999,0.0,0.0,"通信ETF国泰, 有色金属ETF南方",0.971309159644429,0.0,0.45421945971790834
2025-08-12,2025-W33,震荡,1.037031173126083,1.0257156720038816,1.0264505024402009,0.0,0.0,0.0,"通信ETF国泰, 有色金属ETF南方",1.5831636706306496,0.0,0.6187529747739173
2025-08-13,2025-W33,震荡,1.0838054158481034,1.0342066957787481,1.0727135965072079,0.0,0.0,0.0,"通信ETF国泰, 有色金属ETF南方",4.510398909323188,0.0,0.8278145695364225
2025-08-14,2025-W33,震荡,1.065696510219727,1.032508491023775,1.054802584895218,0.0,0.0,0.0,"通信ETF国泰, 有色金属ETF南方",-1.670863179273363,-1.670863179273363,-0.16420361247946325
2025-08-15,2025-W33,震荡,1.0808934894733524,1.041969917515769,1.0698334916471053,0.0,0.0,0.0,"通信ETF国泰, 有色金属ETF南方",1.4260137954746677,-0.26867612323863144,0.9163533834586346
2025-08-18,2025-W34,主升,1.1006198214434229,1.04973313925279,1.0186500238572829,0.039999999999999994,0.0,0.0,"有色金属ETF南方, 通信ETF国泰, 科创芯片ETF嘉实",1.8250023857282915,0.0,0.7450523864959369
2025-08-19,2025-W34,主升,1.1106344358739326,1.044395924308588,1.0279151499109047,0.0,0.0,0.0,"有色金属ETF南方, 通信ETF国泰, 科创芯片ETF嘉实",0.909906784831116,0.0,-0.5084354055927998
2025-08-20,2025-W34,主升,1.1288316036660602,1.0587093643862202,1.0447504514178032,0.0,0.0,0.0,"有色金属ETF南方, 通信ETF国泰, 科创芯片ETF嘉实",1.6384480081250707,0.0,1.3704994192798914
2025-08-21,2025-W34,主升,1.120380189274505,1.062105773896167,1.03693153634998,0.0,0.0,0.0,"有色金属ETF南方, 通信ETF国泰, 科创芯片ETF嘉实",-0.7486869045930322,-0.7486869045930322,0.32080659945006307
2025-08-22,2025-W34,主升,1.1750810770096112,1.086608442503639,1.0875386389626143,0.0,0.0,0.0,"有色金属ETF南方, 通信ETF国泰, 科创芯片ETF嘉实",4.882350496622712,0.0,2.3069894929191426
2025-08-25,2025-W35,主升,1.189981205070189,1.1074721009218826,1.0138800851039966,0.12,0.0,0.0,"科创芯片ETF嘉实, 云计算ETF易方达, 深证100ETF易方达",1.2680085103996541,0.0,1.9200714445188671
2025-08-26,2025-W35,主升,1.1763992625539852,1.101649684619117,1.002321782632845,0.0,0.0,0.0,"科创芯片ETF嘉实, 云计算ETF易方达, 深证100ETF易方达",-1.1413577339150272,-1.1413577339150272,-0.5257393209200378
2025-08-27,2025-W35,主升,1.1780101522570572,1.0856380397865113,1.0036926580001613,0.0,0.0,0.0,"科创芯片ETF嘉实, 云计算ETF易方达, 深证100ETF易方达",0.13693392663089998,-1.0059867132460876,-1.453424355868771
2025-08-28,2025-W35,主升,1.2471519710861667,1.1060164968461912,1.06253269906785,0.0,0.0,0.0,"科创芯片ETF嘉实, 云计算ETF易方达, 深证100ETF易方达",5.869373765296881,0.0,1.8770949720670504
2025-08-29,2025-W35,主升,1.2296741871855308,1.1162057253760311,1.0476590156747738,0.0,0.0,0.0,"科创芯片ETF嘉实, 云计算ETF易方达, 深证100ETF易方达",-1.401415730066502,-1.401415730066502,0.9212546611099048
2025-09-01,2025-W36,主升,1.2515381446646496,1.1198447355652594,1.0184202849787072,0.064,0.0,0.0,"云计算ETF易方达, 深证100ETF易方达, 新能源ETF南方",1.7780284978707206,0.0,0.32601608346010114
2025-09-02,2025-W36,主升,1.2129452123240652,1.1135371179039302,0.9870356037820435,0.0,0.0,0.0,"云计算ETF易方达, 深证100ETF易方达, 新能源ETF南方",-3.0836401195686647,-3.0836401195686647,-0.563258232235686
2025-09-03,2025-W36,主升,1.2088206640058792,1.1035904900533724,0.9842014239828999,0.0,0.052000000000000005,64.9781445815264,深证100ETF易方达,-0.3400440742317712,-3.4131984583032127,-0.8932461873638164
2025-09-04,2025-W36,主升,1.1980770024595926,1.0810286268801554,0.975464425468784,0.0,0.0,65.56083099638656,深证100ETF易方达,-0.8887721616772759,-4.271635062260282,-2.0444053638162263
2025-09-05,2025-W36,主升,1.2152157006405737,1.104803493449782,0.9894020183365403,0.0,0.0,64.63619902006408,深证100ETF易方达,1.4305172493751517,-2.90222428928113,2.1992818671454195
2025-09-08,2025-W37,主升,1.2132288065148376,1.1050460941290636,0.9988849864590386,0.052000000000000005,0.0,19.98066866382281,"光伏龙头ETF广发, 港股创新药ETF广发, 深证100ETF易方达",-0.16350135409612943,-3.0609804673653818,0.02195871761088153
2025-09-09,2025-W37,主升,1.1934929422346265,1.0984958757884522,0.9826443599844072,0.0,0.0,20.311073437091718,"光伏龙头ETF广发, 港股创新药ETF广发, 深证100ETF易方达",-1.6267223605500258,-4.637909174200705,-0.5927552140504999
