date,period,market_state,nav,benchmark_nav,gross_factor,entry_cost_pct,stop_cost_pct,cash_weight_pct,holdings,daily_return_pct,drawdown_pct,benchmark_daily_return_pct
2026-05-06,2026-05,震荡,1.011281980352684,1.0045211672831895,1.012001980352684,0.07200000000000001,0.0,9.817242067872698,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",1.1281980352684018,0.0,0.452116728318952
2026-05-07,2026-05,震荡,1.0297271116879059,1.0094533497739417,1.030447111687906,0.0,0.0,9.641389342197892,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",1.8239355287225756,0.0,0.49099836333879043
2026-05-08,2026-05,震荡,1.0141708029956786,1.0041101520756268,1.0148908029956787,0.0,0.0,9.789278069014088,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",-1.5107214829691795,-1.5107214829691795,-0.5293159609120579
2026-05-11,2026-05,震荡,1.0545046188576939,1.020550760378134,1.055224618857694,0.0,0.0,9.414847334433318,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",3.9770239631111926,0.0,1.6373311502251298
2026-05-12,2026-05,震荡,1.0568748596036224,1.0199342375667901,1.0575948596036224,0.0,0.0,9.393732767684005,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",0.2247729126588549,0.0,-0.060410793395082596
2026-05-13,2026-05,震荡,1.0813832078460996,1.0310316481709825,1.0821032078460997,0.0,0.0,9.180834257427213,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",2.3189451447136467,0.0,1.0880515817046188
2026-05-14,2026-05,震荡,1.0574922800190292,1.0154130702836006,1.0582122800190292,0.0,0.0,9.38824820529312,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",-2.2092933988365204,-2.2092933988365204,-1.5148495116603544
2026-05-15,2026-05,震荡,1.0491297882103736,1.0024660912453762,1.0498497882103737,0.0,0.0,9.46308084239547,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",-0.7907851401529942,-2.98260777508913,-1.2750455373406133
2026-05-18,2026-05,震荡,1.0577207489517026,0.9971228935470614,1.0584407489517027,0.0,0.0,9.386220332577908,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",0.8188653909049437,-2.1881659270008402,-0.5330053300532933
2026-05-19,2026-05,震荡,1.0852516222744095,1.000616522811344,1.0859716222744096,0.0,0.0,9.148108877454103,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",2.6028489419340994,0.0,0.3503709810387168
2026-05-20,2026-05,震荡,1.1196878081233856,1.0010275380189069,1.1204078081233857,0.0,0.0,8.866757258560748,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",3.1731061389069115,0.0,0.041076196344236315
2026-05-21,2026-05,震荡,1.0762305766179578,0.9880805589806824,1.076950576617958,0.0,0.0,9.224789014263669,"科创100ETF鹏华, 科创50ETF易方达, 半导体ETF国联安",-3.881191809908402,-3.881191809908402,-1.293368918086646
2026-05-22,2026-05,震荡,1.0781106772121325,0.9991779695848747,1.0795506772121326,0.0,0.07200000000000001,100.0,现金,0.17469310341309274,-3.7132788809174477,1.1231281198003318
2026-05-25,2026-05,震荡,1.0781106772121325,1.0145910398684752,1.0795506772121326,0.0,0.0,100.0,现金,0.0,-3.7132788809174477,1.5425750719868292
2026-05-26,2026-05,震荡,1.0781106772121325,1.0217838060008222,1.0795506772121326,0.0,0.0,100.0,现金,0.0,-3.7132788809174477,0.708932550131669
2026-05-27,2026-05,震荡,1.0781106772121325,1.0135635018495686,1.0795506772121326,0.0,0.0,100.0,现金,0.0,-3.7132788809174477,-0.8045052292839916
2026-05-28,2026-05,震荡,1.0781106772121325,1.0135635018495686,1.0795506772121326,0.0,0.0,100.0,现金,0.0,-3.7132788809174477,0.0
2026-05-29,2026-05,震荡,1.0781106772121325,1.0117139334155365,1.0795506772121326,0.0,0.0,100.0,现金,0.0,-3.7132788809174477,-0.18248175182481452
2026-06-01,2026-06,震荡,1.0594332735776808,1.000411015207563,0.983395801261194,0.07200000000000001,0.0,10.103026844924965,"电力ETF广发, 通信ETF国泰, 创业板成长ETF华夏",-1.7324198738805974,-5.381369173492423,-1.1172049563274333
2026-06-02,2026-06,震荡,1.0559234625176657,1.014385532264694,0.9805722810866874,0.0,0.043199999999999995,63.62461044931137,电力ETF广发,-0.3312913750728841,-5.694832536632688,1.396877567789634
2026-06-03,2026-06,震荡,1.0583995061782485,1.0203452527743526,0.9828689318043907,0.0,0.0,63.47576560155731,电力ETF广发,0.23449082707938107,-5.47369556946925,0.5875202593192741
2026-06-04,2026-06,震荡,1.0518998915692184,1.0123304562268807,0.9768402236704193,0.0,0.0,63.86797784221814,电力ETF广发,-0.6140984166271402,-6.054180108273299,-0.7854984894259509
2026-06-05,2026-06,震荡,1.0364246186905754,0.9952733251130292,0.9624861566847734,0.0,0.0,64.82161630997683,电力ETF广发,-1.4711735406262805,-7.436286153044803,-1.684937068615533
2026-06-08,2026-06,震荡,1.026210938590671,0.9739005343197699,0.9530124724742471,0.0,0.0,65.4667733899219,电力ETF广发,-0.9854725481925009,-8.348476142594007,-2.1474292793722927
2026-06-09,2026-06,震荡,1.0305440149966911,0.9917796958487465,0.9570316112302281,0.0,0.0,65.19150855210218,电力ETF广发,0.42224032536339884,-7.961486450057976,1.8358303439544255
2026-06-10,2026-06,震荡,1.0206398403543595,0.9831483764899301,0.9478450083594147,0.0,0.0,65.82411964601452,电力ETF广发,-0.9610627492085744,-8.846034318711759,-0.8702859510982264
2026-06-11,2026-06,震荡,1.0209493458119323,0.9763666255651461,0.9481320896991275,0.0,0.0,65.80416476347904,电力ETF广发,0.03032464982606342,-8.818392197816326,-0.6897993311036577
2026-06-12,2026-06,震荡,1.0246634113028066,0.9901356350184958,0.9515770657756826,0.0,0.0,65.56564646097313,电力ETF广发,0.36378548123958687,-8.48668674707117,1.410229425384113
2026-06-15,2026-06,震荡,1.0277584658785353,1.010891903000411,0.9544478791728117,0.0,0.0,65.36819807127176,电力ETF广发,0.30205573279848963,-8.210265538116868,2.096305520963049
2026-06-16,2026-06,震荡,1.0252824222179524,1.009042334566379,0.9521512284551084,0.0,0.0,65.52606141597633,电力ETF广发,-0.24091688298245595,-8.431402505280305,-0.18296401707663668
2026-06-17,2026-06,震荡,1.021568356727078,1.0189066995478835,0.9487062523785533,0.0,0.0,65.7642912728972,电力ETF广发,-0.3622480411631379,-8.763107956025484,0.977596741344211
