date,period,code,name,target_weight_pct,mark_price,market_value_factor
2026-05-06,2026-W19,588080,科创50ETF易方达,53.3,1.691,0.54132312
2026-05-06,2026-W19,159516,半导体设备ETF国泰,46.7,0.513264,0.46204629
2026-05-07,2026-W19,588080,科创50ETF易方达,53.3,1.715,0.54900601
2026-05-07,2026-W19,159516,半导体设备ETF国泰,46.7,0.52527,0.47285439
2026-05-08,2026-W19,588080,科创50ETF易方达,53.3,1.677,0.53684144
2026-05-08,2026-W19,159516,半导体设备ETF国泰,46.7,0.514765,0.4633973
2026-05-11,2026-W20,588080,科创50ETF易方达,53.3,1.754,0.55747287
2026-05-11,2026-W20,159516,半导体设备ETF国泰,46.7,0.550283,0.49922255
2026-05-12,2026-W20,588080,科创50ETF易方达,53.3,1.761,0.55969767
2026-05-12,2026-W20,159516,半导体设备ETF国泰,46.7,0.561789,0.50966084
2026-05-13,2026-W20,588080,科创50ETF易方达,53.3,1.808,0.57463566
2026-05-13,2026-W20,159516,半导体设备ETF国泰,46.7,0.584801,0.53053741
2026-05-14,2026-W20,588080,科创50ETF易方达,53.3,1.762,0.5600155
2026-05-14,2026-W20,159516,半导体设备ETF国泰,46.7,0.571294,0.51828377
2026-05-15,2026-W20,588080,科创50ETF易方达,53.3,1.733,0.55079845
2026-05-15,2026-W20,159516,半导体设备ETF国泰,46.7,0.597307,0.54188338
2026-05-18,2026-W21,588080,科创50ETF易方达,48.0,1.747,0.48387767
2026-05-18,2026-W21,159577,美国50ETF汇添富,15.0,1.546,0.15058442
2026-05-19,2026-W21,588080,科创50ETF易方达,48.0,1.815,0.50271206
2026-05-19,2026-W21,159577,美国50ETF汇添富,15.0,1.544,0.15038961
2026-05-20,2026-W21,588080,科创50ETF易方达,48.0,1.87,0.51794576
2026-05-20,2026-W21,159577,美国50ETF汇添富,15.0,1.548,0.15077922
2026-05-21,2026-W21,588080,科创50ETF易方达,48.0,1.804,0.49966532
2026-05-21,2026-W21,159577,美国50ETF汇添富,15.0,1.545,0.15048701
2026-05-22,2026-W21,159577,美国50ETF汇添富,15.0,1.565,0.15243506
2026-05-25,2026-W22,159667,工业母机ETF国泰,48.0,0.8079,0.48078208
2026-05-25,2026-W22,159941,纳指ETF广发,15.0,1.645,0.15175277
2026-05-26,2026-W22,159667,工业母机ETF国泰,48.0,0.800014,0.47608961
2026-05-26,2026-W22,159941,纳指ETF广发,15.0,1.614,0.14889299
2026-05-27,2026-W22,159667,工业母机ETF国泰,48.0,0.768145,0.45712424
2026-05-27,2026-W22,159941,纳指ETF广发,15.0,1.649,0.15212177
2026-05-28,2026-W22,159667,工业母机ETF国泰,48.0,0.789501,0.46983299
