date,period,code,name,target_weight_pct,mark_price,market_value_factor
2026-05-28,2026-W22,159941,纳指ETF广发,15.0,1.646,0.15184502
2026-05-29,2026-W22,159667,工业母机ETF国泰,48.0,0.75796,0.45106314
2026-05-29,2026-W22,159941,纳指ETF广发,15.0,1.694,0.15627306
2026-06-01,2026-W23,159941,纳指ETF广发,15.0,1.764,0.15619835
2026-06-01,2026-W23,159667,工业母机ETF国泰,46.7,0.726091,0.44736454
2026-06-02,2026-W23,159941,纳指ETF广发,15.0,1.735,0.15363046
2026-06-03,2026-W23,159941,纳指ETF广发,15.0,1.707,0.15115112
2026-06-04,2026-W23,159941,纳指ETF广发,15.0,1.673,0.1481405
2026-06-05,2026-W23,159941,纳指ETF广发,15.0,1.641,0.14530697
2026-06-08,2026-W24,515880,通信ETF国泰,90.0,0.809118,0.91196203
2026-06-09,2026-W24,515880,通信ETF国泰,90.0,0.856624,0.96550633
2026-06-10,2026-W24,515880,通信ETF国泰,90.0,0.823775,0.92848101
2026-06-11,2026-W24,515880,通信ETF国泰,90.0,0.810129,0.91310127
2026-06-12,2026-W24,515880,通信ETF国泰,90.0,0.800527,0.90227848
2026-06-15,2026-W25,159516,半导体设备ETF国泰,90.0,0.693356,0.93020134
2026-06-16,2026-W25,159516,半导体设备ETF国泰,90.0,0.697358,0.93557047
2026-06-17,2026-W25,159516,半导体设备ETF国泰,90.0,0.748885,1.00469799
2026-06-18,2026-W25,159516,半导体设备ETF国泰,90.0,0.760891,1.02080537
2026-06-22,2026-W26,159516,半导体设备ETF国泰,53.3,0.786404,0.55087179
2026-06-22,2026-W26,159363,创业板人工智能ETF华宝,46.7,1.575,0.47576003
2026-06-23,2026-W26,159516,半导体设备ETF国泰,53.3,0.784403,0.54947009
2026-06-23,2026-W26,159363,创业板人工智能ETF华宝,46.7,1.515,0.45763583
2026-06-24,2026-W26,159516,半导体设备ETF国泰,53.3,0.826925,0.57925641
2026-06-24,2026-W26,159363,创业板人工智能ETF华宝,46.7,1.542,0.46579172
2026-06-25,2026-W26,159516,半导体设备ETF国泰,53.3,0.851438,0.59642735
2026-06-25,2026-W26,159363,创业板人工智能ETF华宝,46.7,1.593,0.48119728
2026-06-26,2026-W26,159516,半导体设备ETF国泰,53.3,0.881453,0.61745299
2026-06-26,2026-W26,159363,创业板人工智能ETF华宝,46.7,1.51,0.45612549
2026-06-29,2026-W27,159363,创业板人工智能ETF华宝,48.0,1.488,0.47300662
2026-06-29,2026-W27,513520,日经ETF华夏,15.0,2.487,0.14791832
2026-06-30,2026-W27,159363,创业板人工智能ETF华宝,48.0,1.553,0.49366887
2026-06-30,2026-W27,513520,日经ETF华夏,15.0,2.517,0.14970262
2026-07-01,2026-W27,159363,创业板人工智能ETF华宝,48.0,1.523,0.48413245
2026-07-01,2026-W27,513520,日经ETF华夏,15.0,2.479,0.14744251
2026-07-02,2026-W27,159363,创业板人工智能ETF华宝,48.0,1.41,0.44821192
2026-07-06,2026-W28,588220,科创100ETF鹏华,48.0,2.073,0.46759398
2026-07-06,2026-W28,515120,创新药ETF广发,42.0,0.652,0.42455814
2026-07-07,2026-W28,588220,科创100ETF鹏华,48.0,2.066,0.46601504
2026-07-07,2026-W28,515120,创新药ETF广发,42.0,0.622,0.40502326
2026-07-08,2026-W28,588220,科创100ETF鹏华,48.0,2.045,0.4612782
2026-07-08,2026-W28,515120,创新药ETF广发,42.0,0.609,0.39655814
2026-07-09,2026-W28,588220,科创100ETF鹏华,48.0,2.171,0.48969925
2026-07-09,2026-W28,515120,创新药ETF广发,42.0,0.62,0.40372093
2026-07-10,2026-W28,588220,科创100ETF鹏华,48.0,2.069,0.46669173
2026-07-10,2026-W28,515120,创新药ETF广发,42.0,0.641,0.41739535
2026-07-13,2026-W29,515120,创新药ETF广发,48.0,0.635,0.47550702
2026-07-13,2026-W29,588220,科创100ETF鹏华,42.0,1.941,0.39401643
2026-07-14,2026-W29,515120,创新药ETF广发,48.0,0.657,0.49198128
2026-07-15,2026-W29,515120,创新药ETF广发,48.0,0.684,0.51219969
2026-07-16,2026-W29,515120,创新药ETF广发,48.0,0.68,0.50920437
2026-07-17,2026-W29,515120,创新药ETF广发,48.0,0.629,0.47101404
2026-07-20,2026-W30,515120,创新药ETF广发,40.0,0.653,0.41526232
2026-07-21,2026-W30,515120,创新药ETF广发,40.0,0.658,0.41844197
2026-07-22,2026-W30,515120,创新药ETF广发,40.0,0.659,0.4190779
2026-07-23,2026-W30,515120,创新药ETF广发,40.0,0.655,0.41653418
2026-07-24,2026-W30,515120,创新药ETF广发,40.0,0.627,0.39872814
