date,period,market_state,nav,benchmark_nav,gross_factor,entry_cost_pct,stop_cost_pct,cash_weight_pct,holdings,daily_return_pct,drawdown_pct,benchmark_daily_return_pct
2026-05-06,2026-W19,震荡,1.0017402522870025,1.0045211672831895,1.0022802522870025,0.05400000000000001,0.0,32.38963386559023,"科创50ETF易方达, 半导体设备ETF国泰",0.1740252287002475,0.0,0.452116728318952
2026-05-07,2026-W19,震荡,1.0142197018426333,1.0094533497739417,1.0147597018426333,0.0,0.0,31.99109615111217,"科创50ETF易方达, 半导体设备ETF国泰",1.2457769893083448,0.0,0.49099836333879043
2026-05-08,2026-W19,震荡,0.9996245078057808,1.0041101520756268,1.0001645078057808,0.0,0.0,32.458187796155975,"科创50ETF易方达, 半导体设备ETF国泰",-1.4390564500310843,-1.4390564500310843,-0.5293159609120579
2026-05-11,2026-W20,震荡,1.0378743507654649,1.020550760378134,1.0382642108721845,0.0,0.0,31.3022443224723,"科创50ETF易方达, 半导体设备ETF国泰",3.8264210872184456,0.0,1.6373311502251298
2026-05-12,2026-W20,震荡,1.046414642437699,1.0199342375667901,1.0468077105618634,0.0,0.0,31.046771696547747,"科创50ETF易方达, 半导体设备ETF国泰",0.8228637374009029,0.0,-0.060410793395082596
2026-05-13,2026-W20,震荡,1.070576644477894,1.0310316481709825,1.0709787886532074,0.0,0.0,30.346072531342905,"科创50ETF易方达, 半导体设备ETF国泰",2.3090275174196595,0.0,1.0880515817046188
2026-05-14,2026-W20,震荡,1.0524433734284249,1.0154130702836004,1.0528387061443538,0.0,0.0,30.868925895610012,"科创50ETF易方达, 半导体设备ETF国泰",-1.6937854139637443,-1.6937854139637443,-1.5148495116603766
2026-05-15,2026-W20,震荡,1.0621326986382544,1.002466091245376,1.0625316709868207,0.0,0.0,30.587323547556768,"科创50ETF易方达, 半导体设备ETF国泰",0.9206505028641843,-0.7887287550306543,-1.2750455373406133
2026-05-18,2026-W21,退潮,1.06469285165498,0.9971228935470612,1.0028463890408497,0.04359999999999999,0.0,56.819443037195974,"科创50ETF易方达, 美国50ETF汇添富",0.24103890408495587,-0.5495909940930299,-0.5330053300532933
2026-05-19,2026-W21,退潮,1.0761553059780025,1.000616522811344,1.013638312063009,0.0,0.0,56.21424203427793,"科创50ETF易方达, 美国50ETF汇添富",1.0765972839213545,0.0,0.350370981038739
2026-05-20,2026-W21,退潮,1.0860075795149773,1.0010275380189066,1.0229142467457528,0.0,0.0,55.70426576924784,"科创50ETF易方达, 美国50ETF汇添富",0.9155066636056919,0.0,0.04107619634421411
2026-05-21,2026-W21,退潮,1.0743710693411481,0.9880805589806821,1.011958449801785,0.0,0.0,56.307598522564675,"科创50ETF易方达, 美国50ETF汇添富",-1.0714943793510345,-1.0714943793510345,-1.293368918086646
2026-05-22,2026-W21,退潮,1.0774355900241384,0.9991779695848746,1.0150677019806504,0.0,0.022400000000000003,84.9729980719357,美国50ETF汇添富,0.28523857077327186,-0.7893121238313316,1.1231281198003318
2026-05-25,2026-W22,退潮,1.0793156928692371,1.0145910398684752,1.0022089793403026,0.046400000000000004,0.0,56.854390263584555,"工业母机ETF国泰, 纳指ETF广发",0.17449793403025993,-0.6161915231502224,1.5425750719868514
